INDEX;MESS_DATUM;LUFTTEMP_INT;LUFTTEMP_FLOAT;LUFTFEUCHTIGKEIT;
100270;2023122017;45;4,5;81;
100271;2023122016;49;4,9;82;
100272;2023122015;52;5,2;79;
100273;2023122014;54;5,4;82;
100274;2023122013;61;6,1;84;
100275;2023122012;65;6,5;79;
100276;2023122011;66;6,6;78;
100277;2023122010;60;6,0;79;
100278;2023122009;57;5,7;82;
100279;2023122008;54;5,4;83;
100280;2023122007;51;5,1;87;
100281;2023122006;52;5,2;86;
100282;2023122005;60;6,0;86;
100283;2023122004;66;6,6;90;
100284;2023122003;66;6,6;93;
100285;2023122002;65;6,5;95;
100286;2023122001;65;6,5;94;
100287;2023122000;65;6,5;93;
100288;2023121923;65;6,5;93;
100289;2023121922;64;6,4;93;
100290;2023121921;65;6,5;92;
100291;2023121920;66;6,6;92;
100292;2023121919;67;6,7;93;
100293;2023121918;67;6,7;94;
100294;2023121917;68;6,8;94;
100295;2023121916;66;6,6;94;
100296;2023121915;64;6,4;95;
100297;2023121914;63;6,3;95;
100298;2023121913;62;6,2;94;
100299;2023121912;61;6,1;93;
100300;2023121911;57;5,7;92;
100301;2023121910;61;6,1;85;
100302;2023121909;60;6,0;87;
100303;2023121908;68;6,8;84;
100304;2023121907;68;6,8;74;
100305;2023121906;66;6,6;77;
100306;2023121905;70;7,0;76;
100307;2023121904;66;6,6;74;
100308;2023121903;64;6,4;70;
100309;2023121902;60;6,0;70;
100310;2023121901;55;5,5;72;
100311;2023121900;52;5,2;71;
100312;2023121823;50;5,0;76;
100313;2023121822;55;5,5;71;
100314;2023121821;54;5,4;77;
100315;2023121820;52;5,2;81;
100316;2023121819;56;5,6;81;
100317;2023121818;62;6,2;81;
100318;2023121817;67;6,7;80;
100319;2023121816;73;7,3;79;
100320;2023121815;74;7,4;79;
100321;2023121814;77;7,7;77;
100322;2023121813;77;7,7;76;
100323;2023121812;73;7,3;76;
100324;2023121811;73;7,3;78;
100325;2023121810;73;7,3;79;
100326;2023121809;71;7,1;78;
100327;2023121808;70;7,0;78;
100328;2023121807;68;6,8;78;
100329;2023121806;69;6,9;79;
100330;2023121805;70;7,0;81;
100331;2023121804;71;7,1;81;
100332;2023121803;50;5,0;82;
100333;2023121802;44;4,4;84;
100334;2023121801;47;4,7;86;
100335;2023121800;50;5,0;85;
100336;2023121723;51;5,1;82;
100337;2023121722;52;5,2;85;
100338;2023121721;55;5,5;85;
100339;2023121720;59;5,9;84;
100340;2023121719;64;6,4;82;
100341;2023121718;65;6,5;84;
100342;2023121717;72;7,2;83;
100343;2023121716;78;7,8;81;
100344;2023121715;85;8,5;76;
100345;2023121714;97;9,7;75;
100346;2023121713;99;9,9;75;
100347;2023121712;96;9,6;76;
100348;2023121711;95;9,5;77;
100349;2023121710;95;9,5;77;
100350;2023121709;92;9,2;78;
100351;2023121708;90;9,0;80;
100352;2023121707;89;8,9;83;
100353;2023121706;86;8,6;85;
100354;2023121705;88;8,8;85;
100355;2023121704;88;8,8;85;
100356;2023121703;89;8,9;84;
100357;2023121702;88;8,8;83;
100358;2023121701;87;8,7;83;
100359;2023121700;86;8,6;83;
100360;2023121623;87;8,7;83;
100361;2023121622;87;8,7;83;
100362;2023121621;86;8,6;82;
100363;2023121620;86;8,6;81;
100364;2023121619;85;8,5;81;
100365;2023121618;83;8,3;81;
100366;2023121617;85;8,5;76;
100367;2023121616;83;8,3;76;
100368;2023121615;81;8,1;77;
100369;2023121614;85;8,5;70;
100370;2023121613;85;8,5;70;
100371;2023121612;87;8,7;67;
100372;2023121611;85;8,5;68;
100373;2023121610;78;7,8;72;
100374;2023121609;74;7,4;77;
100375;2023121608;71;7,1;81;
100376;2023121607;68;6,8;84;
100377;2023121606;63;6,3;88;
100378;2023121605;68;6,8;88;
100379;2023121604;70;7,0;89;
100380;2023121603;68;6,8;89;
100381;2023121602;68;6,8;89;
100382;2023121601;67;6,7;90;
100383;2023121600;65;6,5;91;
100384;2023121523;65;6,5;90;
100385;2023121522;66;6,6;91;
100386;2023121521;64;6,4;91;
100387;2023121520;61;6,1;91;
100388;2023121519;62;6,2;91;
100389;2023121518;57;5,7;92;
100390;2023121517;54;5,4;92;
100391;2023121516;50;5,0;93;
100392;2023121515;47;4,7;93;
100393;2023121514;42;4,2;93;
100394;2023121513;39;3,9;90;
100395;2023121512;35;3,5;91;
100396;2023121511;36;3,6;84;
100397;2023121510;29;2,9;86;
100398;2023121509;19;1,9;90;
100399;2023121508;17;1,7;91;
100400;2023121507;16;1,6;93;
100401;2023121506;10;1,0;94;
100402;2023121505;9;0,9;95;
100403;2023121504;7;0,7;91;
